[2026-03-28T15:59:36.333Z] [verbose] [DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o
[2026-03-28T15:59:44.537Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T15:59:47.605Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T15:59:50.698Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T15:59:53.695Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T15:59:56.744Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T15:59:59.796Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:02.855Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:06.131Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:09.212Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:12.282Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:15.513Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:18.708Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:21.968Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:25.351Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:29.195Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:35.218Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:39.757Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:47.671Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:54.471Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:00:59.998Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:01:07.229Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:01:14.494Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:01:20.390Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:01:24.908Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:01:32.910Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
[2026-03-28T16:01:39.491Z] [error] WebSocket connection to 'wss://frontend-phi-smoky-17.vercel.app/ws' failed: Error during WebSocket handshake: Unexpected response code: 200
